,glass,balance-scale,parkinsons,parkinsons_full,iris,page-blocks,ecoli,machine,bupa,wine,segmentation_tes,segmentation_tra,transfusion_full,yeast,qsar_fish_toxicity,new-thyroid_full,breast-cancer-wisconsin,pendigits_tes,pendigits_tra,BreastTissue,vowel,letter-recognition,qsar_aquatic_toxicity,haberman_full,vehicle,child,earthquake,barley,magic-niab,asia,sangiovese,healthcare,hailfinder,survey,cancer,alarm,ecoli70,sachs,water,insurance,mildew
pendigits_tra,95.1856990401033,95.21563106882007,58.203967723925125,58.20395489840535,95.82798342349243,393.0368283399427,96.9756168213916,8977.656887213498,67.64677267516205,218.2756962382646,56.4188639694733,84.14756429067653,919.4661155915215,97.02941725505558,95.64407750574605,86.62676975613499,91.89203701549991,43.582288296091306,0.0,8186.8651701398,94.7281700777791,41.74591508861242,66.66865150869525,86.78385137261424,120.09131589785187,205.68802555773715,212.69009493198894,206.9509704743387,211.21369272246883,205.11643974369017,210.7476295068679,985.0258638179643,1018.1669747264098,211.42854696358762,211.41413065582927,206.39005635156244,210.88184108751813,211.7761093907428,208.21504035773916,207.36935405172085,205.77368383437127
BreastTissue,8243.023218833003,8244.011990769073,8179.365539031024,8179.365513434555,8243.959420736282,6645.3967088116915,8244.862221999478,4408.071317355093,8214.492194546343,8012.236494577219,8163.567942033596,8196.774529704766,7320.67080933084,8244.877902205366,8243.891679796734,8235.920520265805,8239.280126788357,8190.814142017782,8186.8651701398,0.0,8242.908598238786,4535.223195486935,8191.921268152677,8236.959308209221,8102.377959300011,8054.689708399721,8054.765778197039,8054.656168020685,8054.327190885052,8054.726880042742,8054.711213960221,7284.515539080574,7318.145510712704,8054.736720355554,8054.742509072318,8054.692860112881,8054.187066788297,8054.7058211647045,8054.6229234908515,8054.663767076012,8054.703799889895
vowel,1.822515796228342,1.9362536809396094,84.67217623286584,84.67225119523219,1.812325778181906,1688.7353227916517,2.8296039503803363,9041.063424618262,34.06216615181841,257.66614127650297,109.37952343186502,116.16722209209402,968.1064267560503,2.847707705970482,1.6110566646332476,9.561697481325785,4.279518047784523,95.02786087508314,94.7281700777791,8242.908598238786,0.0,3.7877198973533655,55.50951040222265,8.639741835558638,161.95585503690296,247.14011533138407,247.14185203586894,247.1404746057544,247.2262621741347,247.1401469912606,247.14003206596095,1048.0405654881117,1280.1674670959076,247.13996740128502,247.1404503382204,247.14134048966045,247.26927542423957,247.13955126652496,247.1428788452541,247.14157629795469,247.1399580960533
letter-recognition,4.314349591266465,4.127722704787514,81.95444148674989,81.95451540156257,4.866631150793883,250.34431326571283,5.542880525390134,5096.829399964882,29.455831935777343,177.88786887478219,43.61936657317779,102.30529488931784,350.57101487825014,3.159070700054924,4.4265444858657546,8.188253122512931,4.583604861058583,56.49601898626328,41.74591508861242,4535.223195486935,3.7877198973533655,0.0,38.92587110203223,6.240929876620658,71.68883749978127,126.44313311539024,127.48022640018495,124.04798394183679,128.76155705017345,121.54166631799666,125.3373422751217,369.2015774089096,518.3914431494451,126.7179350024502,126.39752338912264,125.86830188398017,121.40507002096231,131.26306030069463,131.2735106747416,122.55851401005195,122.31588645416137
qsar_aquatic_toxicity,56.02178990822767,56.711269248944326,42.828620788782594,42.82871023236599,56.76343484033875,1642.0819830059556,57.95950921820709,8987.198045160032,30.69514242210088,206.58186712503988,68.53715413809996,110.3047059595185,917.1960473797606,57.96547293771505,56.71442863884931,47.92038204113362,52.0189181723511,66.27993869880395,66.66865150869525,8191.921268152677,55.50951040222265,38.92587110203223,0.0,48.11512341218589,110.32015552458584,200.07437834363387,200.1227187564516,200.07126453116913,199.98030733467817,200.09609027333067,200.09473700171634,999.0387816710793,1231.91317179397,200.10566639095606,200.11070973457404,200.0747507562922,199.96069472094334,200.09133133849932,200.04528689865262,200.07567258225927,200.08616140892522
haberman_full,9.354423151391513,9.508135479022382,77.45073490792127,77.45081078064312,9.874770118881782,1683.458800397058,11.129584628313758,9034.255481201692,26.702730482187462,251.11236700083066,101.94547969826678,111.90539991117791,962.1803591999144,11.161502990963585,9.718161065252518,5.843524496696383,6.683778517311517,87.39207548095764,86.78385137261424,8236.959308209221,8.639741835558638,6.240929876620658,48.11512341218589,0.0,154.88484870824388,241.2374762401825,241.25954240736252,241.23312801230023,241.20677498500004,241.24685936398092,241.24508010934585,1041.8302730945375,1274.2016626716422,241.24889055112556,241.25169039043632,241.23383477132154,241.2163295036234,241.24051324423135,241.22586882160783,241.2337425347291,241.2392788280845
vehicle,162.58190712934785,163.20944598251543,103.0512291676561,103.05123418953303,163.21788208930028,1570.6791724469492,164.47546530263344,8885.600209554756,134.4906368358386,107.78765934059798,104.12930989167374,167.73410680721236,812.1933934430006,164.44291008124873,163.19159891014175,153.90754772168623,158.30661307888965,121.84580128454682,120.09131589785187,8102.377959300011,161.95585503690296,71.68883749978127,110.32015552458584,154.88484870824388,0.0,116.43399476527523,116.66789157974988,116.39487173434635,115.69491245228735,116.53339987897387,116.52046455212799,927.6526992695242,1137.9166910435133,116.55798848591257,116.58036667218687,116.44966627404784,115.55655126006103,116.50525639565444,116.33130673208323,116.3851336213451,116.45778528117825
child,248.2533882438365,248.7122699837064,195.13599205795796,195.13600395322345,248.22903976452585,1537.979444456966,249.65909727550823,8821.399535188946,226.22359739804412,65.38838044483434,196.20899270914907,258.1083297851462,749.2160151544499,249.65067050508605,248.50869908916684,239.93205270879992,244.6376329139406,212.57362928675624,205.68802555773715,8054.689708399721,247.14011533138407,126.44313311539024,200.07437834363387,241.2374762401825,116.43399476527523,0.0,1.2067812780587681,1.5399234712101637,4.125041416622817,1.261606938988326,1.3056599662095913,898.3134695267009,1033.0608139501699,1.2952166789317394,1.246342608797374,1.4851124356946266,4.871336262325385,1.3526648558370264,1.706887714100728,1.5446539890993904,1.4083611232921878
earthquake,248.2548057839502,248.71653384566784,195.27892073053647,195.27893305410322,248.227832982717,857.8495478526773,249.65338096956,8821.486437269743,226.309649292907,65.51416849514239,196.54368646352842,258.34451917466595,749.256995218991,249.64400218281676,248.50984190204755,239.94071973854238,244.64162135314768,212.9171226485141,212.69009493198894,8054.765778197039,247.14185203586894,127.48022640018495,200.1227187564516,241.25954240736252,116.66789157974988,1.2067812780587681,0.0,1.4400300413265208,4.472370796646524,0.8302648592787966,0.8595876903706228,898.7142093628579,1033.0611025670958,0.7147761090643867,0.6533564986929414,1.2844371968061696,5.277659573265391,0.9229857826154447,1.6879550829751007,1.4294341923671596,1.165556767963984
barley,248.25415647155282,248.71190210069705,195.1296617001798,195.12967353177714,248.2318251699899,849.7417218264663,249.66157284451137,8821.396933316457,226.2038055071698,65.4084073924744,196.1523138211381,258.0358670759799,749.2117936956681,249.65301214321076,248.50974854617297,239.9303408059765,244.63668143496355,212.5039521574951,206.9509704743387,8054.656168020685,247.1404746057544,124.04798394183679,200.07126453116913,241.23312801230023,116.39487173434635,1.5399234712101637,1.4400300413265208,0.0,4.042757564013401,1.44252814383349,1.4712885783557597,898.242249069066,1033.0605626277015,1.4700453994233795,1.4468729296707095,1.6240252922919098,4.764364942864687,1.5145297354315939,1.760887266929466,1.6075578119933334,1.512835138138742
